CodiceAmministrativo;Sezione;IdentificativoSoggetto;TipoSoggetto;IdentificativoImmobile;TipoImmobile;CodiceDiritto;TitoloNonCodificatoIta;TitoloNonCodificatoTed;QuotaNumeratore;QuotaDenominatore;Regime;SoggettoDiRiferimento;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;Partita;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;IdentificativoTitolarita;
M113;;151100;P;662653;F;1 ;;;0;0; ;;21112006;D;005123;001;2006;27122006;;;;;;;;846171;;4137264;
M113;;151100;P;662679;F;1 ;;;0;0; ;;21102008;D;004148;001;2008;12112008;;;;;;;;987852;;4485133;
M113;;151902;P;662166;F;1 ;;;1000;1000; ;0;01010001;I;  0000;000;2000;01011992;0000644;;;;;;;220;;596886;
M113;;151902;P;662173;F;1 ;;;1000;1000; ;0;01010001;I;  0000;000;2000;01011992;0000644;;;;;;;220;;596892;
M113;;151902;P;662171;F;1 ;;;1000;1000; ;0;28111995;D;001000;001;1996;07051996;0000644;;;;;;;324632;;1498706;
M113;;151902;P;662183;F;1 ;;;1000;1000; ;0;28111995;D;001000;001;1996;07051996;0000644;;;;;;;324632;;1498707;
M113;;151902;P;662232;F;2 ;;;1;8; ;0;26081974;D;003108;001;1999;09121999;1001003;;;;;;;508297;;2733274;
M113;;151902;P;662233;F;2 ;;;1;8; ;0;26081974;D;003108;001;1999;09121999;1001003;;;;;;;508297;;2733278;
M113;;151902;P;662236;F;1 ;;;0;0; ;;06072004;D;002886;001;2004;28072004;;;;;;;;684141;;3842468;
M113;;151911;P;662232;F;2 ;;;1;8; ;0;26081974;D;003108;001;1999;09121999;1001003;;;;;;;508297;;2733279;
M113;;151911;P;662233;F;2 ;;;1;8; ;0;26081974;D;003108;001;1999;09121999;1001003;;;;;;;508297;;2733277;
